sku,title,category,price_usd,stock_qty,status
SKU-1001,Boho Wall Hanging - Macrame,Wall Decor,34.99,6,Active
SKU-1002,Ceramic Table Vase - Ivory,Vases,22.5,0,Out of Stock
SKU-1003,Rattan Pendant Light Shade,Lighting,58.0,14,Active
SKU-1004,Linen Throw Pillow Cover Set (2),Textiles,19.99,32,Active
SKU-1005,Wooden Floating Shelf - Walnut,Shelving,27.75,9,Active
SKU-1006,Handwoven Jute Area Rug 4x6,Rugs,89.0,3,Low Stock
SKU-1007,Terracotta Planter Trio,Planters,31.2,21,Active
SKU-1008,Brass Wall Sconce - Set of 2,Lighting,64.5,0,Out of Stock
SKU-1009,Cotton Woven Table Runner,Textiles,14.25,40,Active
SKU-1010,Winter Sherpa Throw Blanket,Textiles,42.0,17,Active
SKU-1011,Boho Macrame Wall Hanging - Small,Wall Decor,41.66,6,Active
SKU-1012,Minimalist Stoneware Bud Vase,Vases,22.33,13,Active
SKU-1013,Industrial Sconce Wall Sconce,Lighting,75.6,0,Active
SKU-1014,Waffle Cashmere Blend Throw Pillow Cover,Textiles,13.07,2,Low Stock
SKU-1015,Wooden Walnut Corner Shelf,Shelving,49.69,2,Low Stock
SKU-1016,Wool Jute Area Rug 4x6,Rugs,93.64,39,Active
SKU-1017,Woven Macrame Planter Set,Planters,28.58,22,Active
SKU-1018,Rattan-Framed Bamboo Accent Mirror,Mirrors,30.36,1,Low Stock
SKU-1019,Textured Soy Wax Candle Trio,Decor Accents,20.99,1,Low Stock
SKU-1020,Weather-Resistant Rattan Outdoor Planter,Outdoor,76.65,0,Active
SKU-1021,Boho Macrame Wall Hanging - Large,Wall Decor,31.28,27,Active
SKU-1022,Fluted Stoneware Bud Vase,Vases,41.44,51,Active
SKU-1023,Woven Table Lamp Light Shade,Lighting,42.49,0,Out of Stock
SKU-1024,Woven Wool Blend Throw Pillow Cover,Textiles,22.55,45,Active
SKU-1025,Floating Walnut Floating Shelf,Shelving,61.64,2,Low Stock
SKU-1026,Wool Wool Runner Rug 2x8,Rugs,35.03,2,Low Stock
SKU-1027,Concrete Ceramic Planter Trio,Planters,24.1,10,Active
SKU-1028,Round Wood Accent Mirror,Mirrors,77.66,3,Low Stock
